name,district_id,school_number,tea_id,school_type,postal_code,gmap_lat,gmap_lng,gmap_addr
Bastian Elementary,101912,108,101912108,Elementary School,77033,29.6802304,-95.3529937,"Bastian Elementary School, 7350 Calhoun Rd, Houston, TX 77033-3403"
Bell Elementary,101912,151,101912151,Elementary School,77031,29.6452328,-95.5499439,"Bell Elementary School, Houston, TX 77031"
Bellaire High School,101912,002,101912002,High School,77401,29.691766,-95.470002,"Bellaire Senior High School, 5100 Maple St, Bellaire, TX 77401-4999"
Bellfort ECC,101912,360,101912360,Kindergarten,77061,29.672963,-95.284028,"Bellfort Early Childhood Center, 7647 Bellfort St, Houston, TX 77061"
Benavidez Elementary,101912,295,101912295,Elementary School,77081,29.716619,-95.4924419,"Benavidez Elementary School, 6262 Gulfton Dr, Houston, TX 77081-2306"
Benbrook Elementary,101912,268,101912268,Elementary School,77092,29.8277265,-95.4824409,"Benbrook Elementary School, 4026 Bolin Rd, Houston, TX 77092-4711"
Berry Elementary,101912,109,101912109,Elementary School,77093,29.8377256,-95.3491037,"Berry Elementary: School Buildings, 2310 Berry Rd, Houston, TX 77093"
Black Middle School,101912,042,101912042,Middle School,77018,29.8299485,-95.4404953,"Black Middle School, Houston, TX 77018"
Blackshear Elementary,101912,110,101912110,Elementary School,77004,29.7299512,-95.3624382,"Blackshear Elementary School, 2900 Holman St, Houston, TX 77004-3294"
Bonham Elementary,101912,111,101912111,Elementary School,77074,29.6872512,-95.5194497,"Bonham Elementary, 8302 Braes River Dr, Houston, TX 77074"
Bonner Elementary,101912,112,101912112,Elementary School,77017,29.6760633,-95.260491,"Bonner Elementary School, 8100 Elrod St, Houston, TX 77017-5216"
Braeburn Elementary,101912,114,101912114,Elementary School,77081,29.6955085,-95.4888309,"Braeburn Elementary School, 7707 Rampart St, Houston, TX 77081-7198"
Briargrove Elementary,101912,116,101912116,Elementary School,77057,29.7493957,-95.490775,"Briargrove Elementary School, 6145 San Felipe St, Houston, TX 77057-2899"
Briarmeadow Charter School,101912,143,101912143,Elementary School,77063,29.726108,-95.512303,"Briarmeadow Elementary, 3601 Dunvale Rd, Houston, TX 77063"
Briarmeadow Middle School,101912,344,101912344,Middle School,77063,29.726108,-95.512303,"Briarmeadow Middle School, 3601 Dunvale Rd, Houston, TX 77063"
Briscoe Elementary,101912,117,101912117,Elementary School,77011,29.7313397,-95.2988253,"Briscoe Elementary: School Buildings, 321 Forest Hill Blvd, Houston, TX 77011"
Brookline Elementary,101912,119,101912119,Elementary School,77087,29.6977297,-95.3146591,"Brookline Elementary School, 6301 South Loop E, Houston, TX 77087-1012"
Browning Elementary,101912,120,101912120,Elementary School,77009,29.7963381,-95.3779938,"Browning Elementary School, 607 Northwood St, Houston, TX 77009-4599"
Bruce Elementary,101912,121,101912121,Elementary School,77020,29.7680055,-95.3343817,"Bruce Elementary: School Buildings, 713 Bringhurst St, Houston, TX 77020-8607"
Burbank Elementary,101912,122,101912122,Elementary School,77022,29.8449477,-95.3724376,"Burbank Elementary School, 216 Tidwell Rd, Houston, TX 77022-2098"
Burbank Middle School,101912,043,101912043,Middle School,77022,29.837969,-95.370733,"Burbank Middle School, 315 Berry Rd, Houston, TX 77022"
Burnet Elementary,101912,124,101912124,Elementary School,77011,29.7460616,-95.319937,"Burnet Elementary School, Houston, TX 77011"
Burrus Elementary,101912,125,101912125,Elementary School,77022,29.8171708,-95.3902162,"Burrus Elementary School, 701 E 33rd St, Houston, TX 77022-5199"
Bush Elementary,101912,275,101912275,Elementary School,77077,29.7585626,-95.6263343,"Bush Elementary, 13800 Westerloch Dr, Houston, TX 77077"
Cage Elementary,101912,287,101912287,Elementary School,77023,29.7357843,-95.3338263,"Cage Elementary School, Houston, TX 77023"
Carnegie Vanguard High School,101912,322,101912322,High School,77051,29.647451,-95.366131,"Carnegie Vanguard High School, 10401 Scott St, Houston, TX 77051"
Carrillo Elementary,101912,292,101912292,Elementary School,77023,29.727451,-95.3104923,"Carrillo Elementary School, 960 S Wayside Dr, Houston, TX 77023-3412"
HP Carter Career Center,101912,038,101912038,High School,77020,29.7759195,-95.3357258,"HP Carter Career Center, 1700 Gregg St, Houston, TX 77020"
CEP Southeast,101912,316,101912316,High School,77017,29.668089,-95.259738,"CEP SE High School, 8805 Ferndale, Houston, TX 77017"
CEP Southwest,101912,303,101912303,High School,77074,29.691139,-95.508159,"CEP SW High School, 7055 Beechnut St, Houston, TX 77074"
Challenge High School,101912,323,101912323,High School,77081,29.7215531,-95.4597757,"Challenge High School, 5601 West Loop S, Houston, TX 77081"
Chavez High School,101912,027,101912027,High School,77017,29.685131,-95.255278,"Cesar E. Chavez High School, 8501 Howard Dr, Houston, TX 77017"
CLC High School,101912,029,101912029,High School,77004,29.730451,-95.3745129,"Contemporary Learning Center (HS), 1906 Cleburne St, Houston, TX 77004"
CLC Middle School,101912,093,101912093,Middle School,77004,29.730451,-95.3745129,"Contemporary Learning Center (MS), 1906 Cleburne St, Houston, TX 77004"
Clifton Middle School,101912,048,101912048,Middle School,77092,29.8438371,-95.4791074,"Clifton Middle School, Houston, TX 77092"
Codwell Elementary,101912,123,101912123,Elementary School,77048,29.6338428,-95.3457714,"Codwelementaryl Elementary: Codwell Elementary, 5225 Tavenor Ln, Houston, TX 77048"
Community Services,101912,013,101912013,Multilevel School,77092,29.802875,-95.455603,"Community Services-Secondary, 4400 W 18th St, Houston, TX 77092"
Condit Elementary,101912,130,101912130,Elementary School,77401,29.703162,-95.467056,"Condit Elementary: School Buildings, 7000 S 3rd St, Bellaire, TX 77401"
Coop Elementary,101912,132,101912132,Elementary School,77093,29.8580028,-95.3499369,"Coop Elementary School, 10130 Aldine Westfield Rd, Houston, TX 77093-5499"
Cornelius Elementary,101912,133,101912133,Elementary School,77087,29.6774523,-95.2921585,"Cornelementaryius Elementary: Cornelius Elementary, 7475 Westover St, Houston, TX 77087"
Crawford Elementary,101912,134,101912134,Elementary School,77020,29.7746719,-95.3418819,"Crawford Elementary School, 1510 Jensen Dr, Houston, TX 77020-2197"
Crespo Elementary,101912,290,101912290,Elementary School,77012,29.7005073,-95.2860472,"Crespo Elementary School, 7500 Office City Dr, Houston, TX 77012-4115"
Crockett Elementary,101912,135,101912135,Elementary School,77007,29.7738388,-95.3796605,"Crockett Elementary School, 2112 Crockett St, Houston, TX 77007-3923"
Cullen Middle School,101912,044,101912044,Middle School,77021,29.6907858,-95.3629939,"Cullen Middle School, 6900 Scott St, Houston, TX 77021-4899"
Cunningham Elementary,101912,136,101912136,Elementary School,77081,29.7174521,-95.4685523,"Cunningham Elementary School, 5100 Gulfton Dr, Houston, TX 77081-2906"
Ray Daily ES,101912,396,101912396,Elementary School,77077,29.754117,-95.6153228,"Daily Elementary, 12909 Briar Forest Dr, Houston, TX 77077"
Davila Elementary,101912,297,101912297,Elementary School,77012,29.7146734,-95.2843805,"Davila Elementary School, 7610 Dahlia St, Houston, TX 77012-3005"
Davis High School,101912,003,101912003,High School,77009,29.7828818,-95.3565019,"Davis High School Baseball Field, Houston, TX 77009"
De Chaumes Elementary,101912,137,101912137,Elementary School,77076,29.860225,-95.3788266,"De Chaumes Elementary School, 155 Cooper Rd, Houston, TX 77076-2541"
De Zavala Elementary,101912,138,101912138,Elementary School,77012,29.7374506,-95.2899361,"De Zavala Elementary School, 7521 Avenue H, Houston, TX 77012-1199"
Deady Middle School,101912,045,101912045,Middle School,77012,29.704396,-95.2782692,"Deady Middle School, 2500 Broadway St, Houston, TX 77012"
Deaf Campus,101912,380,101912380,Multilevel School,77027,29.7400817,-95.4442253,"Deaf Campus, Houston, TX 77027"
DeBakey HSHP,101912,026,101912026,High School,77021,29.7098377,-95.375581,"DeBakey High School for Health Professions, 3100 Shenandoah St, Houston, TX 77021"
Dodson Elementary,101912,139,101912139,Elementary School,77003,29.7391176,-95.3493823,"Dodson Elementary School, 1808 Sampson St, Houston, TX 77003-5434"
Dogan Elementary,101912,140,101912140,Elementary School,77026,29.7855049,-95.3293814,"Dogan Elementary School, 4202 Liberty Rd, Houston, TX 77026-5824"
Dominion Academy,101912,376,101912376,Middle School,77018,29.841279,-95.423017,"Dominion Academy, 1102 Pinemont Dr, Houston, TX 77018"
Dowling Middle School,101912,075,101912075,Middle School,77045,29.6216217,-95.4543858,"Dowling Middle School, Houston, TX 77045"
Durham Elementary,101912,115,101912115,Elementary School,77018,29.8349482,-95.4166057,"Durham Elementary School, Houston, TX 77018"
Durkee Elementary,101912,144,101912144,Elementary School,77076,29.8668916,-95.3913269,"Durkee Elementary: School Buildings, 7301 Nordling Rd, Houston, TX 77076-1636"
E O Smith Elementary,101912,266,101912266,Elementary School,77020,29.7771718,-95.3341038,"E O Smith Education Center, 1701 Bringhurst St, Houston, TX 77020-8314"
E O Smith Middle School,101912,067,101912067,Middle School,77020,29.7771718,-95.3341038,"E O Smith Education Center, 1701 Bringhurst St, Houston, TX 77020-8314"
E-STEM Academy Central Middle,101912,459,101912459,Middle School,77087,29.668309,-95.311009,"E-Stem Academy Central Middle, 6711 Bellfort St, Houston, TX 77087"
Early College HS East,101912,345,101912345,High School,77003,29.7519084,-95.334111,"East Early College High School, 220 N Milby St, Houston, TX 77003"
Eastwood Academy HS,101912,301,101912301,High School,77023,29.7357842,-95.3249371,"Eastwood Academy, 5100 Polk St, Houston, TX 77023"
ECI,101912,900,101912900,Kindergarten,77067,30.019165,-95.468444,"ECI, 11920 Walters Road, Houston, TX 77067-1956"
Edison Middle School,101912,046,101912046,Middle School,77011,29.7418951,-95.3024365,"Edison Middle School, 6901 Avenue I, Houston, TX 77011-2699"
Eleanor Tinsley Elementary,101912,374,101912374,Elementary School,77096,29.6595339,-95.5010796,"Tinsley Elementary, 11035 Bob White Dr, Houston, TX 77096"
Eliot Elementary,101912,147,101912147,Elementary School,77020,29.7813383,-95.3060474,"Eliot Elementary School, 6411 Laredo St, Houston, TX 77020-4999"
Elrod Elementary,101912,148,101912148,Elementary School,77096,29.6710649,-95.5016092,"Elrod Elementary School, 6230 Dumfries Dr, Houston, TX 77096-4603"
Emerson Elementary,101912,149,101912149,Elementary School,77063,29.7271743,-95.5338319,"Emerson Elementary School, 9533 Skyline Dr, Houston, TX 77063-5215"
Empowerment College Prep HS,101912,325,101912325,High School,77033,29.675102,-95.342285,"Empowerment High School, 7414 Saint Lo Rd, Houston, TX 77033"
Energized for Excellence ECC,101912,350,101912350,Kindergarten,77081,29.695454,-95.490607,"Energized for Excellence Early Childhood Education Center, 6201 Bissonnet St, Houston, TX 77081"
Energized for Excellence ES,101912,364,101912364,Elementary School,77081,29.695454,-95.490607,"Energized for Excellence (ES), 6201 Bissonnet St, Houston, TX 77081"
Energized for Excellence MS,101912,342,101912342,Middle School,77081,29.695454,-95.490607,"Energized for Excellence (MS), 6201 Bissonnet St, Houston, TX 77081"
Energized for STEM Academy,101912,321,101912321,High School,77004,29.7234070,-95.3537840,"Energized for STEM Academy, 3703 Sampson St, Houston, TX 77004"
Energized Science Tech HS,101912,455,101912455,High School,77081,29.695454,-95.490607,"Energized for STEM-West (HS), 6201 Bissonnet St, Houston, TX 77081"
Energized Science Tech MS,101912,390,101912390,Middle School,77081,29.695454,-95.490607,"Energized for STEM-West (MS), 6201 Bissonnet St, Houston, TX 77081"
Farias ECC,101912,352,101912352,Kindergarten,77076,29.8643954,-95.3920982,"Farias Early Childhood Education Center, 515 E Rittenhouse Rd, Houston, TX 77076"
Felix Cook ES,101912,358,101912358,Elementary School,77016,29.824338,-95.319644,"Cook Elementary, 7115 Lockwood Dr, Houston, TX 77016"
Field Elementary,101912,152,101912152,Elementary School,77008,29.801338,-95.3888274,"Field Elementary School, 703 E 17th St, Houston, TX 77008-4414"
Fleming Middle School,101912,078,101912078,Middle School,77026,29.7938379,-95.3210477,"Fleming Middle School, 4910 Collingsworth St, Houston, TX 77026-5150"
Foerster Elementary,101912,271,101912271,Elementary School,77035,29.6388437,-95.4977203,"Foerster Elementary School, 14200 Fonmeadow Dr, Houston, TX 77035-5218"
Fondren Elementary,101912,153,101912153,Elementary School,77085,29.6280108,-95.4996648,"Fondren Elementary: School Buildings, 12405 Carlsbad St, Houston, TX 77085"
Fondren Middle School,101912,072,101912072,Middle School,77096,29.6768981,-95.5038314,"Fondren Middle School, Houston, TX 77096"
Fonville Middle School,101912,047,101912047,Middle School,77076,29.869947,-95.3891046,"Fonville Middle School, 725 E Little York Rd, Houston, TX 77076-1698"
Foster Elementary,101912,154,101912154,Elementary School,77021,29.6921745,-95.361605,"Foster Elementary School, 3919 Ward St, Houston, TX 77021-4861"
Franklin Elementary,101912,155,101912155,Elementary School,77011,29.7393951,-95.2985475,"Franklin Elementary School, 7101 Canal St, Houston, TX 77011-2797"
Frost Elementary,101912,156,101912156,Elementary School,77048,29.6374537,-95.3341043,"Frost Elementary: School Buildings, 5650 Selinsky Rd, Houston, TX 77048"
Furr High School,101912,004,101912004,High School,77013,29.7791159,-95.2485458,"Furr Senior High School, 520 Mercury Dr, Houston, TX 77013-5299"
Gabriela Mistral Center ECC,101912,354,101912354,Kindergarten,77081,29.701339,-95.491701,"Mistral Early Childhood Education Center, 6203 Jessamine St, Houston, TX 77081"
Gallegos Elementary,101912,291,101912291,Elementary School,77011,29.7332842,-95.2938252,"Gallegos Elementary: School Buildings, 7415 Harrisburg Blvd, Houston, TX 77011"
Garcia Elementary,101912,283,101912283,Elementary School,77093,29.848588,-95.348586,"Macario Garcia Elementary School, 9550 Aldine Westfield Rd, Houston, TX 77093"
Garden Oaks Elementary,101912,157,101912157,Elementary School,77018,29.8232819,-95.4132724,"Garden Oaks Elementary: School Buildings, 901 Sue Barnett Dr, Houston, TX 77018"
Garden Villas Elementary,101912,158,101912158,Elementary School,77061,29.661064,-95.3038256,"Garden Villas Elementary School, 7185 Santa Fe Dr, Houston, TX 77061-2621"
Golfcrest Elementary,101912,159,101912159,Elementary School,77087,29.6896742,-95.2949364,"Golfcrest Elementary School, 7414 Fairway Dr, Houston, TX 77087"
Gordon Elementary,101912,160,101912160,Elementary School,77401,29.7141189,-95.4557743,"Gordon Elementary School, Bellaire, TX 77401"
Grady Middle School,101912,068,101912068,Middle School,77056,29.7502289,-95.4685522,"Grady Middle School, 5215 San Felipe St, Houston, TX 77056-3698"
Gregg Elementary,101912,162,101912162,Elementary School,77087,29.6727304,-95.3099368,"Gregg Elementary, 6701 Roxbury Rd, Houston, TX 77087"
Gregory-Lincoln Elementary,101912,282,101912282,Elementary School,77019,29.75691,-95.3856939,"Gregory-Lincoln Elementary, 1101 Taft St, Houston, TX 77019"
Gregory-Lincoln Middle School,101912,058,101912058,Middle School,77019,29.75691,-95.3856939,"Gregory-Lincoln Middle School, 1101 Taft St, Houston, TX 77019"
Grimes Elementary,101912,164,101912164,Elementary School,77033,29.6585643,-95.3491047,"Grimes Elementary: School Buildings, 9220 Jutland Rd, Houston, TX 77033"
Grissom Elementary,101912,262,101912262,Elementary School,77045,29.6199551,-95.4546635,"Grissom Elementary School, 4900 Simsbrook Dr, Houston, TX 77045-5321"
Halpin Center,101912,131,101912131,Kindergarten,77096,29.6627319,-95.5041093,"Halpin Learning Center, Houston, TX 77096"
Hamilton Middle School,101912,049,101912049,Middle School,77008,29.8041158,-95.3974387,"Hamilton Middle School, 139 E 20th St, Houston, TX 77008-2596"
Harper Alternative,101912,094,101912094,Multilevel School,77018,29.830237,-95.411167,"Harper Alternative, 4425 N Shepherd Dr, Houston, TX 77018"
Harris R P Elementary,101912,167,101912167,Elementary School,77015,29.7693939,-95.221323,"R P Harris Elementary School, 1262 Mae Dr, Houston, TX 77015-5515"
Hartman Middle School,101912,051,101912051,Middle School,77087,29.6688416,-95.3066034,"Hartman Middle School, Houston, TX 77087"
Hartsfield Elementary,101912,168,101912168,Elementary School,77021,29.6943966,-95.3427155,"Hartsfield Elementary School, 5001 Perry St, Houston, TX 77021-3599"
Harvard Elementary,101912,169,101912169,Elementary School,77007,29.7855052,-95.3960499,"Harvard Elementary School, 810 Harvard St, Houston, TX 77007-1607"
HCC Life Skills,101912,097,101912097,High School,77004,29.736398,-95.377377,"Hcc Life Skills, 1301 Alabama St, Houston, TX 77004"
Helms Elementary,101912,170,101912170,Elementary School,77008,29.8049491,-95.4060499,"Helms Elementary School, 503 W 21st St, Houston, TX 77008-3682"
Henry Middle School,101912,052,101912052,Middle School,77093,29.8771688,-95.3663261,"Patrick Henry Middle School, Houston, TX 77093"
Herod Elementary,101912,173,101912173,Elementary School,77096,29.6843978,-95.487442,"Herod Elementary, 5627 Jason St, Houston, TX 77096"
Herrera Elementary,101912,286,101912286,Elementary School,77022,29.8216151,-95.3674377,"Herrera Elementary School, 525 Bennington St, Houston, TX 77022-4911"
High School Ahead Academy,101912,456,101912456,High School,77091,29.844463,-95.401651,"High School Ahead Academy, 5320 Yale St, Houston, TX 77022"
Highland Heights Elementary,101912,174,101912174,Elementary School,77091,29.8491145,-95.4213279,"Highland Heights Elementary, 865 Paul Quinn St, Houston, TX 77091-4154"
Hines-Caldwell ES,101912,395,101912395,Elementary School,77085,29.6259949,-95.4983614,"Hines-Caldwell Elementary, 5515 W Orem Drive, Houston, TX 77085"
Hobby Elementary,101912,175,101912175,Elementary School,77045,29.6352323,-95.4368852,"Hobby Elementary School, 4021 Woodmont Dr, Houston, TX 77045-3515"
Hogg Middle School,101912,053,101912053,Middle School,77009,29.7891162,-95.3860496,"Hogg Middle School, 1100 Merrill St, Houston, TX 77009-6099"
Holland Middle School,101912,050,101912050,Middle School,77029,29.762172,-95.2727133,"Holland Middle School, 1600 Gellhorn Dr, Houston, TX 77029"
Hope Academy Charter,101912,329,101912329,High School,77004,29.714973,-95.372252,"Hope Academy Charter School, 3015 N MacGregor Way, Houston, TX 77004"
Horn Elementary,101912,178,101912178,Elementary School,77401,29.694099,-95.45429,"Horn Elementary, 4535 Pine St, Bellaire, TX 77401"
Houston Academy International,101912,348,101912348,High School,77004,29.7368955,-95.3710495,"Jones J Will Elementary: Jones (J Will) Elementary, 1810 Stuart St, Houston, TX 77004"
Houston Gardens Elementary,101912,179,101912179,Elementary School,77028,29.8205037,-95.3010469,"Houston Gardens Elementary: School Buildings, 6820 Homestead Rd, Houston, TX 77028-5045"
HS Business & Economic Success,101912,200,101912200,High School,77085,29.621899,-95.4728839,"HS for Business and Economic Success, 6000 Heatherbrook Dr, Houston, TX 77085"
HSPVA,101912,025,101912025,High School,77006,29.737387,-95.388398,"HS for the Performing and Visual Arts (HSPVA), 4001 Stanford St, Houston, TX 77006"
Inspired For Excellence North,101912,312,101912312,Middle School,77026,29.7995250,-95.3152310,"5426 Cavalcade St, Houston, TX 77026"
Inspired For Excellence West,101912,300,101912300,Middle School,77096,29.6743610,-95.5041640,"6333 S Braeswood Blvd, Houston, TX 77096"
International HS At Sharpstown,101912,452,101912452,High School,77036,29.6978431,-95.531191,"Sharpstown International High School, 8330 Triola Ln, Houston, TX 77036"
Isaacs Elementary,101912,180,101912180,Elementary School,77026,29.7943935,-95.3188254,"Isaacs Elementary School, 3830 Pickfair St, Houston, TX 77026-3998"
J P Henderson Elementary,101912,171,101912171,Elementary School,77023,29.7224512,-95.319937,"J P Henderson Elementary School, 1800 Dismuke St, Houston, TX 77023-4797"
J R Harris Elementary,101912,166,101912166,Elementary School,77012,29.7185622,-95.2774358,"J R Harris Elementary School, 801 Broadway St, Houston, TX 77012-2195"
Jackson Middle School,101912,054,101912054,Middle School,77023,29.7357842,-95.3249371,"Jackson Middle School, 5100 Polk St, Houston, TX 77023-1420"
Janowski Elementary,101912,181,101912181,Elementary School,77022,29.8299481,-95.3707711,"Janowski Elementary School, 7500 Bauman Rd, Houston, TX 77022-6199"
Jefferson Elementary,101912,182,101912182,Elementary School,77009,29.8055045,-95.3699379,"Jefferson Elementary School, 5000 Sharman St, Houston, TX 77009-2698"
Jenard M Gross Elementary,101912,369,101912369,Elementary School,77071,29.6388879,-95.5291892,"Gross Elementary, 12583 S Gessner Rd, Houston, TX 77071"
Harris County JJAEP,101912,320,101912320,High School,77054,29.68442,-95.416301,"Juvenile Justice Alternative Education Program, 2525 Murworth Dr, Houston, TX 77054"
Johnston Middle School,101912,055,101912055,Middle School,77096,29.6696759,-95.473275,"Johnston Middle: School Buildings, 10410 Manhattan Dr, Houston, TX 77096"
Jones High School,101912,006,101912006,High School,77033,29.675102,-95.342285,"Jones High School, 7414 St Lo Rd, Houston, TX 77033"
K Smith Elementary,101912,242,101912242,Elementary School,77092,29.8385594,-95.4621624,"Katherine Smith Elementary, 4802 Chrystell Ln, Houston, TX 77092-3513"
Kaleidoscope M S,101912,334,101912334,Middle School,77074,29.703759,-95.4976478,"Las Americas, 6501 Bellaire Blvd, Houston, TX 77074"
Kandy Stripe Academy,101912,378,101912378,Multilevel School,77033,29.684125,-95.340209,"Kandy Stripe Academy, 5301 Southlea St, Houston, TX 77033"
Kashmere Gardens Elementary,101912,185,101912185,Elementary School,77026,29.8052265,-95.3171586,"Kashmere Gardens Elementary, 4901 Lockwood Dr, Houston, TX 77026-2997"
Kashmere High School,101912,007,101912007,High School,77028,29.8230037,-95.3166029,"Kashmere High, 6900 Wileyvale Rd, Houston, TX 77028"
Kelso Elementary,101912,187,101912187,Elementary School,77033,29.6821746,-95.3335486,"Kelso Elementary School, 5800 Southmund St, Houston, TX 77033-1896"
Kennedy Elementary,101912,188,101912188,Elementary School,77022,29.8285594,-95.396883,"Kennedy Elementary School, 306 Crosstimbers St, Houston, TX 77022-3931"
Ketelsen Elementary School,101912,389,101912389,Elementary School,77009,29.7807573,-95.3638304,"Ketelsen Elementary School, 600 Quitman St, Houston, TX 77009"
Key Middle School,101912,079,101912079,Middle School,77026,29.812036,-95.3302549,"Key Middle School, 4000 Kelley St, Houston, TX 77026"
Kolter Elementary,101912,189,101912189,Elementary School,77096,29.6741202,-95.4677192,"Kolter Elementary: School Buildings, 9710 Runnymeade Dr, Houston, TX 77096"
Lamar High School,101912,008,101912008,High School,77098,29.739023,-95.426663,"Lamar High School: School Buildings, 3325 Westheimer Rd, Houston, TX 77098"
Lanier Middle School,101912,057,101912057,Middle School,77098,29.741934,-95.404702,"Lanier Middle School, 2600 Woodhead St, Houston, TX 77098"
Lantrip Elementary,101912,192,101912192,Elementary School,77023,29.7416174,-95.3349374,"Lantrip Elementary School, 100 Telephone Rd, Houston, TX 77023-1899"
Las Americas Middle School,101912,340,101912340,Middle School,77074,29.704179,-95.499177,"Las Americas Middle School, 6501 Bellaire Blvd, Houston, TX 77074"
Law Elementary,101912,263,101912263,Elementary School,77047,29.6288431,-95.3649386,"Law Elementary School, Houston, TX 77047"
Law Enf. and Criminal Justice,101912,034,101912034,High School,77007,29.764642,-95.407662,"HS for Law Enforcement and Criminal Justice, 4701 Dickson St, Houston, TX 77007"
Leader's Academy,101912,326,101912326,High School,77045,29.6273437,-95.4657256,"Leader's Academy, 6011 W Orem Dr, Houston, TX 77045"
Lee High School,101912,009,101912009,High School,77057,29.7296741,-95.4999421,"Lee High School, 6529 Beverlyhill St, Houston, TX 77057"
Lewis Elementary,101912,194,101912194,Elementary School,77061,29.6652304,-95.282436,"Lewis Elementary School, 7649 Rockhill St, Houston, TX 77061-2101"
Liberty High School,101912,324,101912324,High School,77074,29.72046,-95.496905,"Liberty High School, 6400 Southwest Fwy, Houston, TX 77074"
Lockhart Elementary,101912,195,101912195,Elementary School,77004,29.7143961,-95.3604938,"Lockhart Elementary: School Buildings, 3501 Southmore Blvd, Houston, TX 77004-7911"
Long Middle School,101912,059,101912059,Middle School,77074,29.705786,-95.4974421,"Long Middle School, 6501 Bellaire Blvd, Houston, TX 77074"
Longfellow Elementary,101912,196,101912196,Elementary School,77025,29.686064,-95.4321626,"Longfelementarylow Elementary: Longfellow Elementary, 3614 Murworth Dr, Houston, TX 77025"
Looscan Elementary,101912,197,101912197,Elementary School,77009,29.7949492,-95.3571598,"Looscan Elementary School, 3800 Robertson St, Houston, TX 77009-4959"
Love Elementary,101912,198,101912198,Elementary School,77008,29.7935606,-95.4093836,"Love Elementary School, 1120 W 13th St, Houston, TX 77008-6699"
Lovett Elementary,101912,199,101912199,Elementary School,77096,29.6838421,-95.4677192,"Lovett Elementary, 8814 S Rice Ave, Houston, TX 77096"
Lyons Elementary,101912,128,101912128,Elementary School,77076,29.8563362,-95.3671595,"Lyons Elementary School, 800 Roxella St, Houston, TX 77076-4431"
M L King ECC,101912,355,101912355,Kindergarten,77045,29.613555,-95.4359629,"King Early Childhood Education Center, 3930 W Fuqua St, Houston, TX 77045"
MacGregor Elementary,101912,201,101912201,Elementary School,77004,29.7280069,-95.3807721,"Mac Gregor Elementary School, 4801 La Branch St, Houston, TX 77004-5695"
Mading Elementary,101912,203,101912203,Elementary School,77033,29.6596753,-95.327993,"Mading Elementary School, 8511 Crestmont St, Houston, TX 77033-1399"
Madison High School,101912,010,101912010,High School,77045,29.6299547,-95.4366074,"Madison High School, 13719 White Heather Dr, Houston, TX 77045-4498"
Mark Twain Elementary,101912,251,101912251,Elementary School,77025,29.6985636,-95.4374404,"Mark Twain Elementary School, 7500 Braes Blvd, Houston, TX 77025-1224"
Marshall Middle School,101912,061,101912061,Middle School,77009,29.780783,-95.356882,"Marshall Middle School, Houston, TX 77009"
Martinez C Elementary,101912,289,101912289,Elementary School,77020,29.7727274,-95.2974361,"R Martinez Elementary School, 7211 Market St, Houston, TX 77020-5422"
Martinez Elementary,101912,298,101912298,Elementary School,77020,29.7727274,-95.2974361,"R Martinez Elementary School, 7211 Market St, Houston, TX 77020-5422"
